This file was created using the 202601 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 5 ME portfolios
and 5 BE/ME portfolios in Europe.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
 ,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
199609  ,-1.93  ,-1.27  ,-1.74   ,0.17  ,-0.93  ,-2.79  ,-0.36  ,-1.54  ,-0.14  ,-1.49  ,-0.50  ,-0.46   ,1.48  ,-1.36  ,-1.27  ,-0.99   ,0.53  ,-0.32   ,0.21  ,-0.72   ,1.44   ,0.62   ,2.53   ,2.46   ,0.69
199610   ,0.16   ,1.18   ,1.07   ,2.28   ,1.93   ,1.61   ,2.66   ,2.31   ,1.81   ,0.87   ,3.07   ,2.91   ,3.37   ,3.06   ,2.01   ,3.87   ,2.95  ,-0.11  ,-0.26   ,0.48   ,1.65   ,3.13   ,2.53   ,1.41   ,0.06
199611   ,1.96   ,1.87   ,2.24   ,2.07   ,2.36   ,1.36   ,2.10   ,1.50   ,2.98   ,3.70   ,2.36   ,2.24   ,2.02   ,3.06   ,5.62   ,4.15   ,1.22   ,2.57   ,4.13   ,5.94   ,3.33   ,3.03   ,4.30   ,5.27   ,4.37
199612   ,0.85   ,1.02   ,1.39   ,2.08   ,2.32   ,3.35   ,1.16   ,1.72   ,2.58   ,2.33   ,0.89   ,2.07   ,2.35   ,3.21   ,3.65   ,2.25   ,1.40   ,2.24   ,3.02   ,3.45   ,2.06   ,2.88   ,2.74   ,5.80   ,3.04
199701   ,0.36  ,-0.24   ,0.99  ,-0.04   ,0.80  ,-0.63   ,0.01   ,0.70   ,0.17   ,3.39  ,-0.45   ,1.98   ,1.45   ,2.31   ,4.34   ,0.16  ,-2.73   ,0.43   ,2.66   ,5.41  ,-1.11  ,-2.11  ,-0.54   ,4.12   ,1.16
199702   ,7.40   ,2.70   ,3.96   ,2.77   ,2.66   ,1.23   ,1.36   ,0.38   ,2.95   ,1.76   ,0.23   ,0.46   ,1.44   ,0.26   ,0.78   ,1.89   ,0.01   ,0.55  ,-0.17   ,1.42   ,1.10   ,1.18  ,-0.15   ,1.81   ,0.86
199703   ,0.68   ,0.11   ,2.27   ,1.43   ,2.34  ,-1.23   ,1.36   ,1.94   ,1.62   ,2.33  ,-0.70   ,1.03   ,2.16   ,2.37   ,2.42  ,-0.61   ,2.68   ,1.16   ,4.30   ,2.62   ,2.51   ,1.86   ,2.16   ,2.14   ,2.79
199704  ,-1.99  ,-2.08  ,-1.23  ,-0.96  ,-0.61  ,-2.29  ,-2.42  ,-2.69  ,-2.55  ,-2.11  ,-2.76  ,-2.28  ,-1.77  ,-0.15  ,-0.94  ,-2.67  ,-2.62  ,-2.78  ,-0.44  ,-1.18  ,-0.77  ,-0.78  ,-1.04  ,-1.65  ,-0.63
199705   ,0.68   ,3.01   ,3.38   ,4.46   ,3.17   ,0.75   ,2.17   ,3.42   ,3.82   ,4.25   ,1.77   ,4.81   ,3.50   ,5.15   ,2.16   ,1.50   ,3.27   ,3.36   ,3.98   ,3.17   ,4.47   ,3.43   ,4.65   ,2.80   ,4.96
199706  ,-1.09  ,-0.30   ,0.32  ,-0.22   ,1.31   ,0.47   ,1.19   ,0.74   ,0.70   ,1.20  ,-0.29   ,0.62   ,2.26   ,2.96   ,3.10   ,1.40   ,1.31   ,3.36   ,3.40   ,3.56   ,2.81   ,3.16   ,4.55   ,4.23   ,4.26
199707  ,-3.94  ,-2.81  ,-3.74  ,-2.03  ,-2.43  ,-2.76  ,-2.06  ,-1.43  ,-0.28   ,0.76  ,-0.67  ,-2.85  ,-1.45   ,0.30   ,2.96   ,1.46  ,-1.73   ,4.77   ,0.87   ,3.89   ,4.20   ,0.91   ,1.40   ,4.49   ,5.08
199708   ,0.73   ,0.11   ,0.29   ,0.85   ,0.95   ,2.81   ,0.93   ,0.95   ,1.81  ,-0.21   ,0.32   ,8.89   ,0.05  ,-0.91  ,-0.76  ,-1.24   ,0.50  ,-3.18  ,-1.84  ,-1.95  ,-4.66  ,-3.86  ,-3.89  ,-4.25  ,-4.60
199709   ,3.65   ,5.24   ,5.07   ,5.39   ,4.84   ,4.11   ,4.74   ,6.10   ,6.80   ,8.39   ,7.55   ,5.18   ,6.32   ,6.25   ,9.43   ,5.98   ,6.02   ,8.14   ,9.65   ,7.70   ,8.65   ,8.49   ,7.72   ,9.54  ,13.08
199710   ,0.30   ,0.35  ,-0.34   ,0.12   ,0.43  ,-1.38  ,-0.65  ,-0.29  ,-0.47  ,-0.09  ,-0.83  ,-0.58  ,-3.63  ,-1.36  ,-0.78  ,-3.54  ,-2.32  ,-4.20  ,-3.74  ,-1.15  ,-4.58  ,-6.43  ,-4.91  ,-3.57  ,-3.63
199711  ,-2.59  ,-2.21  ,-1.76  ,-0.82  ,-1.09  ,-1.21  ,-0.79  ,-1.15  ,-1.61  ,-2.36  ,-0.94  ,-0.00  ,-1.94  ,-0.64  ,-1.78   ,1.88  ,-0.65  ,-0.91  ,-1.19  ,-1.35   ,1.07   ,2.85   ,2.00   ,1.93   ,0.98
199712  ,-1.38  ,-1.59  ,-1.86  ,-1.76  ,-0.93  ,-0.62  ,-2.06  ,-2.59  ,-0.86   ,0.63  ,-0.70  ,-0.51   ,1.08   ,0.21   ,3.50   ,0.52   ,0.89   ,0.96  ,-0.82   ,4.46   ,2.41   ,0.93   ,1.93   ,2.36   ,7.39
199801   ,2.01   ,1.85   ,0.30   ,1.76   ,2.40   ,2.28   ,1.52   ,1.23   ,1.06   ,5.23   ,2.97   ,1.93   ,0.45   ,1.60   ,5.35   ,2.47   ,0.06   ,0.92   ,3.07   ,6.81   ,3.61   ,3.26   ,1.70   ,2.93   ,5.95
199802   ,4.67   ,5.31   ,3.93   ,4.80   ,6.27   ,5.38   ,6.97   ,6.01   ,6.85   ,7.43   ,5.88   ,4.47   ,6.59   ,7.29   ,8.90   ,5.20   ,9.36   ,7.23   ,7.46  ,10.51   ,8.87   ,7.01   ,7.69   ,6.39   ,8.01
199803   ,5.70   ,7.30   ,5.83   ,5.87   ,6.60   ,7.37   ,7.69   ,7.09   ,8.26  ,11.84   ,9.56   ,7.94   ,7.88   ,8.08  ,12.59   ,6.54   ,8.97   ,8.39   ,9.16  ,12.63   ,5.84   ,7.58   ,7.22  ,12.75  ,12.47
199804   ,4.22   ,4.35   ,5.50   ,5.55   ,6.05   ,4.51   ,2.79   ,6.26   ,4.45   ,4.34   ,3.78   ,3.86   ,4.97   ,4.04   ,2.45   ,4.22   ,6.69   ,5.15   ,4.53   ,1.70   ,0.64   ,2.52   ,4.22   ,4.87   ,1.63
199805   ,4.25   ,6.69   ,4.25   ,5.15   ,4.17   ,5.26   ,3.25   ,1.55   ,3.41   ,4.00   ,3.41   ,3.10   ,5.35   ,4.55   ,5.05   ,1.60   ,3.30   ,1.55   ,3.11   ,3.66   ,3.10   ,3.83   ,0.99   ,3.86   ,3.78
199806  ,-3.67  ,-1.68  ,-0.89  ,-2.12  ,-2.01  ,-4.85  ,-3.05  ,-3.89  ,-4.38  ,-4.15  ,-0.51  ,-2.58  ,-5.92  ,-4.59  ,-3.82  ,-1.03  ,-5.05  ,-3.47  ,-6.28  ,-4.21  ,-1.14  ,-2.76   ,0.39  ,-1.25  ,-2.22
199807  ,-1.41  ,-2.13  ,-0.15  ,-0.22   ,0.06   ,0.82  ,-2.77  ,-0.82  ,-0.37  ,-1.10   ,1.19  ,-0.90   ,1.14   ,1.08  ,-0.72   ,4.89   ,3.19   ,0.89   ,2.43   ,0.52   ,2.15   ,1.81   ,1.27   ,5.40   ,2.94
199808  ,-9.26  ,-9.09  ,-8.78  ,-7.06  ,-5.81 ,-13.28 ,-11.18 ,-10.39 ,-11.18  ,-9.82 ,-11.68  ,-9.70 ,-10.84 ,-11.31 ,-12.46 ,-10.55 ,-11.77 ,-10.79 ,-12.93 ,-10.78 ,-11.20 ,-10.89 ,-11.29 ,-11.84 ,-14.66
199809  ,-3.31  ,-3.50  ,-3.64  ,-2.55  ,-1.73  ,-5.17  ,-3.94  ,-4.69  ,-3.98  ,-2.49  ,-5.33  ,-6.89  ,-4.97  ,-5.27  ,-4.35  ,-2.04  ,-3.53  ,-4.41  ,-6.15  ,-5.48  ,-3.13  ,-1.29  ,-6.12  ,-4.06  ,-8.01
199810  ,-1.57  ,-1.25  ,-0.33  ,-1.22   ,0.42   ,1.56   ,0.78  ,-1.06   ,3.86   ,1.66   ,3.22   ,6.12   ,5.52   ,4.69   ,5.09   ,6.26   ,8.33   ,7.98   ,7.60   ,6.14   ,7.06   ,7.45   ,9.01   ,6.08   ,6.20
199811   ,2.33   ,0.61   ,1.82  ,-0.13   ,1.18   ,3.45   ,1.83   ,2.52   ,1.29   ,2.08  ,-1.15   ,1.73   ,1.15   ,5.52   ,2.53   ,5.16   ,1.62   ,0.44   ,1.47   ,6.57   ,4.36   ,2.17   ,4.39   ,4.22   ,8.97
199812   ,0.85  ,-0.85  ,-1.07   ,0.35   ,0.63   ,1.98   ,0.98   ,1.26   ,0.34  ,-0.52   ,1.67   ,0.33  ,-0.01   ,0.49   ,0.79   ,1.98   ,2.03   ,0.42   ,1.71   ,0.11   ,4.76   ,3.44   ,4.01   ,7.38   ,0.54
199901   ,2.24   ,4.51   ,0.77   ,2.32   ,1.12   ,2.85  ,-1.95  ,-1.83  ,-2.14  ,-1.65   ,3.62  ,-3.27  ,-1.78  ,-2.59  ,-2.35   ,2.94  ,-4.12  ,-3.56  ,-0.49  ,-1.97   ,2.44  ,-1.46  ,-1.09  ,-0.95  ,-1.59
199902   ,1.04  ,-1.32  ,-1.84  ,-0.89   ,0.97   ,2.80   ,0.50   ,0.24  ,-0.06  ,-1.26   ,0.04  ,-0.38  ,-1.06  ,-1.67  ,-0.07  ,-3.04  ,-3.69  ,-1.69  ,-1.98  ,-0.16  ,-3.25   ,1.20  ,-1.85  ,-3.95  ,-2.71
199903   ,1.26   ,1.47   ,0.52   ,0.26   ,1.67  ,-0.54  ,-0.63  ,-0.60  ,-0.50   ,1.09  ,-0.24   ,1.97   ,1.23   ,0.01   ,3.67   ,0.74   ,0.07   ,0.10   ,0.77   ,2.31   ,0.48   ,0.86   ,0.45   ,0.37   ,3.53
199904   ,2.94   ,5.07   ,5.28   ,4.18   ,5.16   ,6.22   ,5.87   ,4.83   ,3.98   ,3.82   ,3.12   ,5.33   ,4.36   ,4.30   ,5.77   ,0.90   ,6.25   ,6.70   ,5.06   ,4.13   ,2.57   ,4.25   ,7.28   ,3.13   ,5.09
199905   ,1.06   ,2.21   ,3.21   ,2.90   ,4.89  ,-0.99   ,0.63   ,1.12   ,1.28   ,0.16  ,-0.77  ,-0.61  ,-1.64  ,-0.77  ,-1.51   ,0.08   ,0.33  ,-2.52  ,-0.23  ,-2.86  ,-3.57  ,-4.58  ,-3.19  ,-2.79  ,-4.37
199906   ,1.50   ,2.49   ,3.42   ,2.67   ,3.37   ,0.96   ,2.47   ,0.62   ,1.13   ,1.37   ,2.47   ,1.01  ,-0.28   ,1.14   ,3.12   ,2.65   ,0.75   ,5.17   ,1.46   ,2.50   ,3.17   ,0.34   ,2.39   ,1.56   ,2.07
199907   ,4.83   ,5.87   ,8.41   ,5.97   ,5.61   ,5.56   ,4.35   ,5.71   ,5.52   ,3.82   ,3.72   ,5.55   ,2.75   ,3.70   ,2.26   ,2.16   ,2.77   ,2.17   ,2.49   ,3.61   ,0.63   ,1.07  ,-0.03   ,0.99   ,3.61
199908   ,2.73   ,4.32   ,5.21   ,2.15   ,3.09   ,6.07   ,4.32   ,4.00   ,6.12   ,2.87   ,1.66   ,6.13   ,2.55   ,0.53   ,2.25   ,1.70   ,0.56   ,0.48   ,1.38   ,1.27   ,2.54   ,2.00   ,2.33   ,0.61   ,1.52
199909   ,1.99   ,1.99   ,2.97   ,0.79   ,2.25   ,1.85   ,0.27   ,2.17   ,1.03   ,0.91   ,2.90   ,3.68  ,-1.92  ,-0.37  ,-0.70  ,-1.78  ,-0.48   ,0.06   ,0.40  ,-0.53  ,-0.21  ,-0.93  ,-1.48   ,0.15  ,-0.37
199910  ,-0.40  ,-0.04  ,-0.23   ,0.32   ,0.23   ,2.42   ,0.21  ,-0.09  ,-0.92  ,-1.10   ,3.14   ,1.89  ,-0.87  ,-1.90  ,-3.26   ,0.93  ,-1.80  ,-1.02  ,-1.47  ,-0.73   ,2.03   ,2.79  ,-0.21  ,-1.69  ,-2.75
199911  ,13.46   ,8.42   ,4.98   ,2.61   ,1.85  ,12.03  ,-0.01  ,-2.11  ,-1.17  ,-1.77   ,7.79   ,2.62  ,-1.62  ,-4.06  ,-0.27   ,7.63   ,0.69   ,0.13  ,-3.41  ,-2.02   ,6.44   ,0.49  ,-0.08  ,-1.58  ,-0.42
199912  ,13.34  ,10.89   ,6.41   ,5.65   ,4.47   ,9.89   ,7.18   ,3.06   ,3.17   ,2.11   ,6.40   ,4.18   ,6.30   ,5.01   ,6.05  ,10.49   ,5.06   ,8.71   ,3.00   ,5.91  ,12.82   ,9.91   ,6.56   ,8.26  ,11.64
200001  ,12.25   ,8.40   ,9.21   ,5.52   ,2.97   ,4.55   ,0.84  ,-0.73  ,-3.96  ,-1.53   ,3.77  ,-1.91  ,-5.68  ,-5.28  ,-6.87  ,-7.94  ,-6.97  ,-6.36  ,-6.61  ,-8.06  ,-6.56  ,-9.27  ,-9.35 ,-10.38 ,-10.01
200002  ,11.71  ,11.09   ,8.06   ,4.86   ,1.72  ,10.20   ,3.73   ,1.63   ,1.46   ,0.81  ,10.07   ,4.31   ,1.69  ,-1.32   ,0.02   ,8.85   ,0.92   ,4.40  ,-0.31   ,0.16   ,6.56   ,6.33   ,0.22   ,2.17   ,0.49
200003  ,-2.50   ,2.60  ,-0.58   ,0.47   ,0.48  ,-5.25   ,0.80  ,-1.14   ,1.82   ,1.25  ,-3.04   ,0.28   ,2.58   ,1.39   ,2.33  ,-0.20   ,2.73   ,1.66   ,2.78   ,4.69  ,-0.07   ,5.15   ,4.96   ,3.88   ,3.86
200004 ,-11.07  ,-9.10  ,-8.59  ,-6.33  ,-5.65 ,-11.96  ,-7.67  ,-5.64  ,-4.93  ,-4.94  ,-9.51  ,-8.53  ,-3.40  ,-2.91  ,-3.67  ,-8.74  ,-5.90  ,-2.66  ,-0.48  ,-2.40  ,-3.28  ,-5.21  ,-2.97  ,-0.19  ,-4.06
200005  ,-3.13  ,-1.16   ,2.16   ,1.44   ,3.68  ,-2.71   ,0.86   ,6.26   ,3.64   ,6.56  ,-2.73   ,3.12   ,4.63   ,5.92   ,5.03   ,2.22   ,5.38   ,3.52   ,3.92   ,3.61  ,-1.55   ,3.87   ,4.38   ,2.80   ,3.38
200006   ,1.87   ,1.02   ,1.31   ,1.40   ,2.81  ,-0.73   ,0.45   ,1.72   ,1.31   ,3.14   ,0.45   ,0.69   ,0.46   ,0.95   ,2.09   ,1.24   ,1.12   ,3.11   ,3.42   ,2.73   ,1.45   ,0.09   ,3.90   ,3.36   ,2.54
200007  ,-5.44  ,-4.62  ,-2.20  ,-1.51  ,-0.94  ,-4.57  ,-1.03  ,-0.92  ,-0.85  ,-0.63  ,-1.11   ,0.27  ,-1.20  ,-0.20  ,-0.57   ,0.92   ,0.43   ,0.00   ,0.30  ,-1.06   ,0.03  ,10.58  ,-0.20   ,2.11  ,-1.94
200008  ,-3.31  ,-2.09  ,-0.91  ,-0.22  ,-0.77   ,0.83  ,-0.96  ,-2.30  ,-0.31   ,0.56   ,2.55  ,-3.04  ,-1.10  ,-1.57   ,0.15   ,0.65   ,0.15  ,-0.03   ,0.22  ,-1.32   ,1.83  ,-3.03   ,0.20  ,-1.41  ,-1.40
200009  ,-2.17  ,-3.32  ,-1.44  ,-2.74  ,-0.68  ,-3.68  ,-1.10  ,-2.25  ,-1.58  ,-1.05  ,-3.69  ,-2.50   ,2.05  ,-2.98  ,-2.80  ,-5.79  ,-4.09  ,-1.97  ,-2.95  ,-2.94  ,-8.50  ,-2.48   ,0.48  ,-1.87  ,-1.71
200010 ,-15.98 ,-12.01  ,-7.10  ,-6.19  ,-4.54 ,-15.78 ,-10.25  ,-7.24  ,-2.90  ,-2.62 ,-14.25  ,-8.32  ,-3.12  ,-3.03  ,-3.28 ,-10.70  ,-5.02  ,-1.16   ,0.23   ,1.76  ,-6.67  ,-1.11  ,-2.51   ,0.94  ,-0.84
200011 ,-12.57  ,-9.16  ,-5.05  ,-0.62  ,-0.12 ,-14.77 ,-11.29  ,-4.32   ,0.59   ,2.36 ,-19.53  ,-9.39  ,-2.05  ,-0.01   ,3.06 ,-12.87  ,-3.67   ,0.92   ,1.44   ,4.22 ,-17.04  ,-0.80   ,0.11  ,-1.24   ,2.76
200012   ,1.71  ,-0.52   ,2.12   ,4.17   ,5.60   ,5.56   ,3.86   ,7.15   ,8.13   ,7.88   ,7.78   ,5.97   ,7.48   ,9.67   ,8.13   ,6.77   ,7.23   ,7.44   ,7.92   ,7.81   ,2.60   ,5.89   ,9.91   ,8.75   ,3.61
200101   ,2.86   ,7.23   ,7.11   ,4.98   ,3.58   ,2.52   ,2.10   ,5.89   ,3.67   ,4.36   ,6.32   ,2.44  ,-0.63   ,1.05   ,2.47   ,2.53   ,6.86   ,1.25   ,3.03   ,0.50   ,7.38   ,9.36  ,-0.47   ,3.64   ,2.19
200102  ,-3.09  ,-7.30  ,-5.54  ,-3.62  ,-1.06 ,-10.65 ,-10.87  ,-4.81  ,-1.83  ,-0.39 ,-16.24  ,-4.04  ,-1.81  ,-1.21   ,1.71 ,-15.06  ,-5.81  ,-3.42  ,-1.73   ,2.52 ,-16.39  ,-7.77  ,-2.94  ,-4.15  ,-4.27
200103 ,-10.55 ,-10.42  ,-9.35  ,-8.31  ,-6.83 ,-15.57 ,-14.00  ,-9.53  ,-5.43  ,-7.44 ,-18.81 ,-13.39  ,-7.74  ,-8.07  ,-7.84 ,-16.59 ,-11.86 ,-10.69  ,-8.84  ,-7.15 ,-17.37  ,-9.07  ,-7.39  ,-6.31  ,-9.45
200104   ,2.94   ,3.22   ,3.73   ,3.77   ,4.13   ,3.90   ,3.88   ,3.78   ,4.72   ,4.99  ,14.03   ,6.22   ,4.36   ,4.01   ,6.56  ,12.63   ,8.18   ,5.69   ,5.21   ,3.48  ,14.44   ,9.03   ,6.27   ,7.57   ,4.72
200105  ,-7.66  ,-5.03  ,-2.41  ,-1.43  ,-1.03  ,-8.56  ,-4.74  ,-1.97  ,-1.55   ,0.19  ,-6.09  ,-2.51  ,-1.59   ,0.44  ,-0.70  ,-6.07  ,-1.75  ,-3.30  ,-3.75  ,-0.17  ,-8.71  ,-6.05  ,-3.52  ,-2.72  ,-5.07
200106 ,-11.72  ,-8.76  ,-4.87  ,-2.13  ,-0.52 ,-14.18  ,-9.59  ,-4.44  ,-1.92  ,-1.89 ,-17.38  ,-8.20  ,-3.22  ,-3.39  ,-3.34 ,-13.85  ,-3.68  ,-3.60  ,-1.66  ,-2.60 ,-11.67  ,-0.11  ,-1.42  ,-1.20  ,-2.40
200107  ,-6.66  ,-3.66  ,-4.59  ,-1.67  ,-0.20  ,-7.86  ,-3.66  ,-0.41   ,0.09   ,1.06  ,-4.27  ,-0.48   ,0.79  ,-2.25   ,1.36  ,-2.72  ,-0.36  ,-0.35   ,0.89   ,2.28  ,-0.15  ,-0.94   ,0.23   ,0.28  ,-0.75
200108  ,-3.04  ,-2.17  ,-1.04  ,-0.03   ,1.84  ,-2.68  ,-2.04   ,2.27   ,1.10   ,1.37  ,-1.45  ,-1.29  ,-0.20   ,2.96   ,2.64  ,-5.17   ,0.41  ,-0.48   ,1.17   ,2.12  ,-3.33  ,-2.41  ,-0.78   ,0.28  ,-1.15
200109 ,-18.51 ,-17.79 ,-16.05 ,-14.37 ,-10.81 ,-23.14 ,-17.25 ,-12.50 ,-12.76 ,-12.00 ,-19.69 ,-18.29 ,-14.57 ,-16.10 ,-14.06 ,-16.52 ,-14.01 ,-12.49 ,-14.22 ,-15.12 ,-13.99 ,-11.55 ,-12.10 ,-12.84 ,-16.05
200110  ,13.56   ,8.32   ,7.11   ,5.77   ,3.54  ,12.50   ,8.17   ,3.83   ,3.05   ,3.11  ,13.01   ,6.33   ,3.29   ,5.13   ,3.12  ,14.17   ,5.91   ,3.40   ,4.36   ,6.36   ,6.86   ,4.16   ,4.16   ,2.01   ,5.26
200111   ,6.90   ,9.07   ,7.81   ,7.31   ,4.29  ,10.23   ,7.10   ,7.11   ,4.59   ,3.84  ,12.04   ,8.32   ,6.41   ,6.61   ,5.71   ,8.60   ,7.63   ,6.66   ,5.49   ,7.31   ,9.16   ,6.53   ,4.87   ,3.96   ,8.17
200112  ,-1.29  ,-1.88  ,-2.52  ,-0.41  ,-0.12  ,-0.25  ,-2.21  ,-0.86   ,0.87   ,2.25   ,0.69   ,0.74   ,1.57   ,2.80   ,2.05  ,-1.26   ,0.50   ,2.21   ,1.34   ,2.04   ,1.28   ,0.63   ,1.60   ,2.27   ,2.37
200201  ,-4.17  ,-0.54  ,-2.29  ,-2.50  ,-0.00  ,-3.44  ,-5.46  ,-2.89  ,-3.14  ,-0.52  ,-4.76  ,-1.76  ,-3.12  ,-1.64   ,2.04  ,-6.76  ,-3.12  ,-2.07  ,-1.48   ,0.33  ,-6.16   ,0.36  ,-3.60   ,0.08  ,-4.00
200202  ,-3.76  ,-4.12  ,-4.14  ,-1.91   ,0.75  ,-4.89  ,-2.77  ,-0.12   ,0.79   ,2.09  ,-4.05   ,1.31   ,1.63   ,3.94   ,3.43  ,-4.07  ,-1.51   ,1.49   ,1.35   ,2.47   ,0.48   ,2.62   ,0.15   ,0.48  ,-0.69
200203   ,2.70   ,2.71   ,2.85   ,2.68   ,3.50   ,2.98   ,4.11   ,4.05   ,5.11   ,6.03   ,6.38   ,2.94   ,6.33   ,7.68   ,6.74   ,6.13   ,6.82   ,6.86   ,5.20   ,4.57   ,6.15   ,9.08   ,7.61   ,3.95   ,7.41
200204  ,-2.47  ,-0.74  ,-0.75   ,0.32   ,3.35  ,-3.49   ,1.32   ,3.06   ,4.22   ,6.91  ,-2.80   ,0.70   ,3.97   ,3.94   ,5.02  ,-6.80   ,0.68   ,3.11   ,2.09   ,3.18  ,-4.67   ,0.56   ,0.93   ,4.35  ,-1.66
200205  ,-1.17   ,1.10  ,-0.74   ,1.83   ,3.03  ,-4.53   ,0.34   ,2.75   ,4.18   ,4.21  ,-1.92   ,2.38   ,1.52   ,3.78   ,3.77  ,-1.71   ,2.16   ,0.65   ,2.52   ,1.70  ,-1.92  ,-0.72   ,2.17   ,3.56   ,2.09
200206  ,-5.54  ,-3.55  ,-3.72  ,-1.59   ,2.45  ,-8.31  ,-2.80  ,-0.95   ,0.10   ,1.26  ,-7.59  ,-5.84  ,-1.64   ,0.20   ,0.15  ,-5.02  ,-3.98  ,-2.03  ,-0.95  ,-1.16  ,-2.90  ,-3.00  ,-5.19  ,-2.23  ,-3.60
200207  ,-5.49  ,-8.52  ,-7.57  ,-7.94  ,-5.90 ,-10.49  ,-9.90  ,-8.54  ,-6.61  ,-6.55  ,-9.60 ,-10.80 ,-10.82  ,-9.69  ,-8.15 ,-12.01 ,-11.14 ,-10.47  ,-8.34  ,-9.16 ,-12.30 ,-10.17 ,-10.88 ,-14.16  ,-2.37
200208  ,-4.51  ,-0.98  ,-1.61  ,-2.28   ,0.06  ,-3.24  ,-2.80  ,-1.24   ,0.02  ,-1.42  ,-1.75  ,-1.49   ,0.85  ,-0.13  ,-1.07  ,-0.61   ,0.67  ,-0.90   ,0.02   ,0.64   ,0.16   ,1.88   ,0.60   ,1.75  ,-0.40
200209 ,-13.44 ,-13.18 ,-13.71 ,-10.82  ,-8.12 ,-16.58 ,-12.96 ,-12.29  ,-8.71  ,-8.51 ,-10.53 ,-10.22 ,-10.81  ,-8.97 ,-10.60 ,-11.89 ,-11.37 ,-11.31 ,-13.11 ,-11.39 ,-12.26 ,-13.80 ,-15.64 ,-15.42 ,-16.40
200210   ,2.64   ,1.82   ,2.77   ,3.71   ,2.20   ,9.49   ,7.47   ,3.72   ,0.80   ,2.81   ,5.27   ,6.01   ,2.22   ,4.67   ,4.78   ,8.84   ,5.66   ,9.21   ,8.47   ,6.25  ,14.26   ,9.62  ,13.49   ,9.80   ,6.13
200211   ,8.47   ,7.63   ,8.20   ,6.20   ,5.39   ,7.58   ,7.45   ,4.93   ,3.96   ,3.24   ,7.25   ,5.16   ,5.99   ,4.26   ,5.41   ,8.44   ,6.67   ,6.92   ,7.12   ,4.99   ,7.39   ,5.95   ,7.56   ,9.94   ,9.24
200212  ,-2.26  ,-2.67  ,-3.83  ,-0.60   ,2.44  ,-3.79  ,-1.08   ,1.00   ,2.42   ,4.35  ,-5.76  ,-3.44   ,2.39   ,2.49   ,3.90  ,-6.89  ,-1.46  ,-0.67  ,-1.54  ,-0.16  ,-4.01  ,-3.26  ,-4.75  ,-3.26  ,-3.79
200301  ,-0.67   ,0.10  ,-2.65  ,-1.01   ,1.57  ,-3.18   ,1.81  ,-2.85   ,2.10  ,-0.37  ,-2.31  ,-4.32  ,-1.74  ,-1.10  ,-0.12  ,-0.98  ,-2.16  ,-1.35  ,-1.11  ,-3.97  ,-3.81  ,-2.41  ,-2.17  ,-4.34   ,2.20
200302  ,-5.29  ,-5.97  ,-4.21  ,-4.23  ,-3.03  ,-5.45  ,-4.69  ,-4.12  ,-2.19  ,-2.52  ,-6.30  ,-3.40  ,-5.17  ,-2.53  ,-3.94  ,-4.05  ,-5.96  ,-5.07  ,-4.75  ,-5.35  ,-6.80  ,-3.80  ,-2.42  ,-1.62  ,-3.01
200303  ,-3.12  ,-3.53  ,-2.15  ,-1.81  ,-1.12  ,-2.39  ,-0.31  ,-0.18  ,-1.65  ,-0.70   ,0.03   ,4.54   ,2.89   ,0.83  ,-0.14  ,-0.21   ,0.66   ,1.56  ,-0.83  ,-0.97  ,-1.36  ,-2.88  ,-1.98  ,-0.58  ,-3.98
200304  ,12.59  ,12.99  ,14.90  ,12.58  ,11.40  ,16.68  ,14.52  ,12.94  ,13.42  ,11.51  ,16.18  ,17.49  ,13.39  ,10.71  ,15.08  ,15.75  ,13.68  ,14.97  ,15.75  ,15.08  ,16.39  ,17.95  ,16.65  ,27.85  ,20.86
200305  ,12.80  ,12.11  ,13.07  ,12.77  ,12.29  ,14.44  ,12.57  ,10.20  ,11.00  ,11.05  ,10.63  ,11.25  ,10.66  ,11.67   ,8.85  ,10.19  ,10.44   ,9.47   ,9.28  ,11.02   ,7.60  ,10.67   ,7.52   ,5.46   ,9.03
200306   ,3.37   ,5.32   ,6.19   ,5.97   ,6.02   ,4.65   ,3.98   ,2.56   ,3.47   ,3.87   ,3.84   ,0.55   ,2.60   ,2.58   ,2.52   ,2.46   ,0.35   ,2.16   ,2.39   ,1.40   ,0.00   ,0.93   ,1.37   ,1.80   ,4.49
200307   ,1.01   ,5.07   ,1.95   ,4.42   ,5.34   ,1.04   ,1.56   ,3.55   ,3.71   ,5.28   ,3.70  ,-0.03   ,1.30   ,0.98   ,3.86   ,4.55   ,3.75   ,1.55   ,3.97   ,4.99  ,-0.86  ,-0.25   ,3.11   ,7.58   ,6.40
